Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,28484,-,-,-,15.45,75.65,0,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,DHI,DHI Perez,DNI,DNI Perez,Fill Flag,GHI,GHI Perez,Relative Humidity,Snow Depth,Solar Zenith Angle,Pressure,Precipitable Water,Wind Direction,Wind Speed
2003,1,1,0,0,15,0,0,0,14,0,0,0,0,0,0,0,93.66,0,109.64,940,2.077,352.8,2
2003,1,1,1,0,15,0,0,0,13,0,0,0,0,0,0,0,90.81,0,96.12,940,2.0260000000000002,3.3000000000000003,2
2003,1,1,2,0,18,50,177,71,14,54,54,98,98,0,67,67,81.15,0,82.94,940,1.981,12.200000000000001,1.8
2003,1,1,3,0,21,122,474,282,13,122,153,474,388,0,282,284,64.4,0,70.3,950,1.942,19.5,1.6
2003,1,1,4,0,24,163,632,493,13,163,161,632,653,0,493,502,49.38,0,58.59,950,1.923,34.300000000000004,1.4000000000000001
2003,1,1,5,0,27,187,719,663,14,187,175,719,752,0,663,674,45.62,0,48.5,940,1.9180000000000001,46.5,0.9
2003,1,1,6,0,28,200,762,773,14,200,189,762,787,0,773,781,43.910000000000004,0,41.25,940,1.927,54.2,0.6000000000000001
2003,1,1,7,0,29,204,776,811,14,204,188,776,813,0,811,825,42.78,0,38.480000000000004,940,1.945,62.800000000000004,0.4
2003,1,1,8,0,29,200,762,774,14,200,189,762,788,0,774,783,42.660000000000004,0,41.11,940,1.966,71.2,0.30000000000000004
2003,1,1,9,0,28,187,719,666,14,187,176,719,754,0,666,678,43.26,0,48.28,940,1.985,86.4,0.2
2003,1,1,10,0,27,163,634,497,14,163,157,634,665,0,497,507,45.47,0,58.31,940,2.0020000000000002,90.5,0.30000000000000004
2003,1,1,11,0,26,124,478,287,15,124,153,478,420,0,287,297,53.78,0,69.99,940,2.015,92.30000000000001,0.4
2003,1,1,12,0,24,52,186,76,18,53,53,38,38,0,58,58,72.81,0,82.61,940,2.0220000000000002,93.60000000000001,0.4
2003,1,1,13,0,23,0,0,0,15,0,0,0,0,0,0,0,62.82,0,95.79,940,2.0260000000000002,90.2,0.4
2003,1,1,14,0,22,0,0,0,16,0,0,0,0,0,0,0,67.43,0,109.3,940,2.0300000000000002,75.9,0.30000000000000004
2003,1,1,15,0,22,0,0,0,14,0,0,0,0,0,0,0,64.2,0,123.01,940,2.032,54.300000000000004,0.30000000000000004
