Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,34082,-,-,-,14.25,77.35,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed,
2011,1,1,0,0,0,0,0,0,0,0,17,18.133751816769916,939.7218627929688,93.69069799363885,171.04061763281112,3.005449056625366,N/A
2011,1,1,1,0,0,0,0,0,0,0,16,17.636895394071473,939.0813598632812,94.8069719543031,161.98921639623794,2.8252086639404297,N/A
2011,1,1,2,0,0,0,0,0,0,0,16,17.52108757289136,938.3765258789062,93.12047633874865,148.87028846908737,2.5844948291778564,N/A
2011,1,1,3,0,0,0,0,0,0,0,16,17.438160573715038,938.4856567382812,91.64726250766111,135.17536102058247,2.4826550483703613,N/A
2011,1,1,4,0,0,0,0,0,0,0,15,17.253344567450654,938.9419555664062,92.31746483043504,121.38551456555057,2.4452362060546875,N/A
2011,1,1,5,0,0,0,0,0,0,0,18,19.35503721261057,935.8031616210938,95.95604212257912,107.68660702104441,1.9643535614013672,N/A
2011,1,1,6,0,0,0,0,0,0,0,18,19.387061674221627,936.6491088867188,95.95324354947837,94.14614018098631,1.9048255681991577,N/A
2011,1,1,7,0,56,285,102,56,285,102,18,19.95859998645915,937.43896484375,94.20665941669002,80.9325244733845,1.7846955060958862,N/A
2011,1,1,8,0,106,564,315,106,564,315,19,21.00921016955266,938.2974243164062,91.32986894329376,68.27266930942059,1.846845269203186,N/A
2011,1,1,9,0,134,701,520,134,701,520,19,21.966612593361674,938.2919311523438,87.15620967483717,56.5624575776525,1.9260995388031006,N/A
2011,1,1,10,0,151,773,683,151,773,683,20,22.9441536257566,937.8145141601562,84.36523462568567,46.54466977825932,1.8980371952056885,N/A
2011,1,1,11,0,160,809,784,160,809,784,20,24.130604252834473,936.5838623046875,81.04580749106644,39.542081941980186,1.8200931549072266,N/A
2011,1,1,12,0,162,819,814,162,819,814,21,25.805453394266294,935.1861572265625,76.19042196847396,37.301947421059815,1.7844535112380981,N/A
2011,1,1,13,0,158,805,770,158,805,770,21,26.571866379683172,934.216552734375,73.68623940678512,40.62219698498686,1.8028134107589722,N/A
2011,1,1,14,0,148,763,655,148,763,655,21,26.43595303127779,933.6815185546875,73.05539261554608,48.36865517264155,1.914920687675476,N/A
2011,1,1,15,0,184,546,467,129,680,482,20,25.658416440205883,933.7596435546875,74.24105545492603,58.811998101872014,2.0555477142333984,N/A
2011,1,1,16,0,98,523,271,98,523,271,20,24.675010596590255,934.1481323242188,77.85303704180401,70.75955892808179,1.9708399772644043,N/A
2011,1,1,17,0,45,60,52,41,198,64,20,23.62940498762447,934.9699096679688,81.53347966107503,83.55648235353114,2.025970697402954,N/A
2011,1,1,18,0,0,0,0,0,0,0,20,23.1074424885212,935.6566772460938,83.6251203245427,96.8530692928294,2.2672407627105713,N/A
