Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,34082,-,-,-,14.25,77.35,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed,
2006,1,1,0,0,0,0,0,0,0,0,13,16.583780385387286,941.139404296875,81.284444016692,171.0603566862278,2.5646262168884277,N/A
2006,1,1,1,0,0,0,0,0,0,0,13,16.02529050330969,940.3416748046875,84.71449617454046,162.01941614854752,2.50298810005188,N/A
2006,1,1,2,0,0,0,0,0,0,0,13,15.54258998360524,940.3614501953125,87.94134116876393,148.89874688082432,2.375986099243164,N/A
2006,1,1,3,0,0,0,0,0,0,0,13,15.133293829551405,940.0452270507812,90.69266972073687,135.2020781076284,2.2671396732330322,N/A
2006,1,1,4,0,0,0,0,0,0,0,13,14.79437681441243,940.5625610351562,93.05142543053974,121.41060439127016,2.229006290435791,N/A
2006,1,1,5,0,0,0,0,0,0,0,14,14.358400947813152,943.2059936523438,98.01621618526771,107.70988994527474,1.8961578607559204,N/A
2006,1,1,6,0,0,0,0,0,0,0,13,14.729065488391257,943.6676635742188,93.62483400797548,94.16743659485162,1.8062429428100586,N/A
2006,1,1,7,0,60,298,107,59,322,110,13,15.979356462382498,944.2433471679688,87.89340655461838,80.95132836411592,1.7064611911773682,N/A
2006,1,1,8,0,110,610,336,110,610,336,14,18.248808467356866,944.7449951171875,80.8677532183698,68.28817259449553,1.7919251918792725,N/A
2006,1,1,9,0,138,748,550,138,748,550,15,21.875650989505402,944.7662353515625,65.27161756724819,56.57322164555213,2.489311695098877,N/A
2006,1,1,10,0,204,708,691,155,819,718,14,23.60487412939665,944.1632080078125,58.10060741721384,46.548372767934545,2.6875743865966797,N/A
2006,1,1,11,0,264,596,724,163,853,822,15,24.785422088724488,943.2042236328125,54.55249976791505,39.53572302082906,2.7745540142059326,N/A
2006,1,1,12,0,305,512,713,166,861,851,15,25.40566186382108,941.967529296875,53.64786386121354,37.28418200632888,2.879946708679199,N/A
2006,1,1,13,0,368,346,631,162,845,804,15,25.510941985393742,940.625732421875,54.27917439155004,40.596080280058175,2.986219882965088,N/A
2006,1,1,14,0,214,681,667,151,802,685,15,25.0980107703258,940.0177001953125,56.1384276215807,48.33877609086162,3.008831262588501,N/A
2006,1,1,15,0,142,674,492,133,719,505,15,24.16358412664306,939.7506103515625,59.444047064434045,58.781151159244246,3.027876615524292,N/A
2006,1,1,16,0,101,560,286,101,560,286,16,22.61499623656681,940.13427734375,66.38497433087926,70.72895245701775,2.9063777923583984,N/A
2006,1,1,17,0,45,62,52,43,226,69,16,20.965506688319238,940.5891723632812,74.66476654460456,83.52660211284997,2.828545331954956,N/A
