Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,34082,-,-,-,14.25,77.35,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed,
2002,1,1,0,0,0,0,0,0,0,0,16,20.44249827737707,938.6834716796875,78.83380710892023,171.05750039962194,1.2669519186019897,N/A
2002,1,1,1,0,0,0,0,0,0,0,15,19.806096638707913,938.7185668945312,77.763581316894,162.01725656505195,1.3977938890457153,N/A
2002,1,1,2,0,0,0,0,0,0,0,15,19.095532392379425,938.5377197265625,80.28741193359004,148.89719678645002,1.5362545251846313,N/A
2002,1,1,3,0,0,0,0,0,0,0,15,18.569756707226702,938.8612060546875,82.943396734128,135.20089104729618,1.6305814981460571,N/A
2002,1,1,4,0,0,0,0,0,0,0,15,18.062863356828302,939.359375,85.83322681058893,121.40970100307285,1.7006088495254517,N/A
2002,1,1,5,0,0,0,0,0,0,0,16,17.185928190578807,943.4288330078125,95.84769694681026,107.70926865602367,2.2493674755096436,N/A
2002,1,1,6,0,0,0,0,0,0,0,16,17.222077668149836,944.2003784179688,95.58587126810987,94.1670972527067,2.2328383922576904,N/A
2002,1,1,7,0,60,285,105,60,285,105,16,18.193770706267856,944.8374633789062,92.66642356691317,80.9513175772997,2.3246665000915527,N/A
2002,1,1,8,0,121,546,323,115,567,325,17,19.518549059343854,945.1117553710938,86.94255584171245,68.28855204008431,2.7604331970214844,N/A
2002,1,1,9,0,167,634,517,146,708,537,17,21.60973248590551,945.0648803710938,77.82777433104062,56.57410809125299,3.1341638565063477,N/A
2002,1,1,10,0,164,783,703,164,783,703,17,23.68393661775832,944.2216796875,68.18061427716339,46.54991972885188,3.262167453765869,N/A
2002,1,1,11,0,174,820,807,174,820,807,17,25.196399661082978,943.2072143554688,60.82052102722451,39.53803816523529,3.2920942306518555,N/A
2002,1,1,12,0,177,829,837,177,829,837,16,25.904657112805182,941.9828491210938,57.05867223104806,37.28710024964185,3.3262763023376465,N/A
2002,1,1,13,0,173,814,791,173,814,791,16,25.996760829584787,941.287841796875,55.66857859654357,40.59913056040158,3.401184320449829,N/A
2002,1,1,14,0,161,770,673,161,770,673,16,25.575777753423267,940.69140625,55.8904201110395,48.341600512632986,3.4151415824890137,N/A
2002,1,1,15,0,141,685,496,141,685,496,15,24.581070839141034,941.1516723632812,58.09781076199232,58.783647042761785,3.425893783569336,N/A
2002,1,1,16,0,107,524,280,107,524,280,15,22.942399991011825,941.5198364257812,64.73290300805206,70.73113093205205,3.2767159938812256,N/A
2002,1,1,17,0,46,60,53,44,199,66,16,20.95312266580754,942.3463134765625,73.93057999552738,83.52849333886951,3.335247755050659,N/A
2002,1,1,18,0,0,0,0,0,0,0,16,20.061892173714625,942.9200439453125,78.35135240740227,96.82580315369395,3.489238977432251,N/A
2002,1,1,19,0,0,0,0,0,0,0,16,19.4415163210341,943.5140380859375,81.85315338465924,110.41734704378857,3.513252019882202,N/A
2002,1,1,20,0,0,0,0,0,0,0,16,18.823425535775925,943.4536743164062,85.55728569407304,124.17064103855725,3.491558074951172,N/A
2002,1,1,21,0,0,0,0,0,0,0,16,18.13612956942461,943.6119995117188,89.41057593858214,137.9676785039008,3.467175006866455,N/A
2002,1,1,22,0,0,0,0,0,0,0,16,17.431327049560252,943.2112426757812,93.62120617173443,151.62330358864054,3.430288314819336,N/A
2002,1,1,23,0,0,0,0,0,0,0,16,16.778293629651444,943.2607421875,97.89297265327326,164.48164279635276,3.3818318843841553,N/A
2002,1,2,0,0,0,0,0,0,0,0,16,16.217442556138224,943.2391357421875,100,171.17865578159234,3.3238697052001953,N/A
2002,1,2,1,0,0,0,0,0,0,0,16,16.353899850624657,942.7702026367188,98.30297820182469,162.18330219136624,3.154592514038086,N/A
2002,1,2,2,0,0,0,0,0,0,0,15,16.62165202391975,942.5799560546875,95.11610172529458,149.0490768747897,2.901045322418213,N/A
2002,1,2,3,0,0,0,0,0,0,0,15,16.684683995084015,942.5430908203125,95.09405024344679,135.340969780353,2.888331174850464,N/A
2002,1,2,4,0,0,0,0,0,0,0,16,16.792783628804727,943.1495361328125,96.08079845382001,121.53929112670691,2.9745113849639893,N/A
2002,1,2,5,0,0,0,0,0,0,0,16,16.883940354591687,943.7399291992188,95.57834717529123,107.80427882644744,2.953889846801758,N/A
2002,1,2,6,0,0,0,0,0,0,0,16,17.015405933052875,944.7485961914062,95.47757237528678,94.25238777932827,2.8226685523986816,N/A
2002,1,2,7,0,60,289,105,60,289,105,16,17.874226604136425,945.5838012695312,90.43202374330751,81.02470976120938,3.0735483169555664,N/A
2002,1,2,8,0,116,574,328,116,574,328,16,19.118424520191297,946.1001586914062,84.20700631444203,68.34628072365459,3.352968692779541,N/A
2002,1,2,9,0,147,715,540,147,715,540,16,20.68053612294773,945.7477416992188,77.8773624716687,56.60981221765653,3.504446268081665,N/A
2002,1,2,10,0,224,663,680,165,789,708,16,22.453469511107414,945.448486328125,69.58372331252313,46.553510545811285,3.6769964694976807,N/A
2002,1,2,11,0,339,417,661,175,826,813,16,23.877815334962293,944.2389526367188,64.00475704631587,39.49704425845393,3.83758807182312,N/A
2002,1,2,12,0,334,450,693,178,835,843,16,24.79530208678034,943.1830444335938,59.23504495545193,37.19736760483402,3.983137607574463,N/A
2002,1,2,13,0,209,770,795,174,820,798,16,25.042675642301788,942.0503540039062,57.83370968925057,40.47585946449289,4.119382381439209,N/A
2002,1,2,14,0,162,777,680,162,777,680,15,24.702725145548868,941.7153930664062,57.626189649055945,48.20525187945852,4.161109447479248,N/A
2002,1,2,15,0,142,692,502,142,692,502,15,23.806368575022702,941.9684448242188,59.744826341449,58.645863764241525,4.104913711547852,N/A
2002,1,2,16,0,108,532,285,108,532,285,15,22.333794164791925,942.5806884765625,66.36646866254037,70.5965499992605,3.765460252761841,N/A
2002,1,2,17,0,48,68,56,45,207,69,15,20.510848934660203,942.8569946289062,75.09802096751064,83.3988080009631,3.642056941986084,N/A
