Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,34693,-,-,-,9.35,77.55,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2011,1,1,0,0,0,0,0,0,0,0,19,21.136953562887243,953.161865234375,91.54683214423804,166.1618951347049,0,0.508133590221405,N/A
2011,1,1,1,0,0,0,0,0,0,0,19,20.913681733530268,952.2013549804688,92.0730991299629,158.85953839864413,0,0.5122001767158508,N/A
2011,1,1,2,0,0,0,0,0,0,0,19,20.566921177693132,951.8165283203125,92.79795927721355,146.64045464506268,0,0.4755467474460602,N/A
2011,1,1,3,0,0,0,0,0,0,0,19,20.284375776297168,951.6056518554688,92.75974592562713,133.25303337549127,0,0.44710248708724976,N/A
2011,1,1,4,0,0,0,0,0,0,0,18,20.16582990958142,952.3819580078125,92.33671196645,119.5292915159091,0,0.43032407760620117,N/A
2011,1,1,5,0,0,0,0,0,0,0,19,20.807033202271327,949.2431640625,91.88969944828158,105.76591051725948,0,0.32107013463974,N/A
2011,1,1,6,0,0,0,0,0,0,0,19,20.906177985032286,950.089111328125,91.5925982896767,92.05977532786699,0,0.3270784318447113,N/A
2011,1,1,7,0,81,127,107,70,316,133,19,21.53794040222465,950.8789672851562,89.10905547038541,78.5820801671241,0,0.35684025287628174,N/A
2011,1,1,8,0,118,568,353,118,568,353,19,22.652079127059267,951.4174194335938,84.62326172206022,65.540456680403,0,0.38889291882514954,N/A
2011,1,1,9,0,145,696,561,145,696,561,20,24.160686545544024,951.4119262695312,78.7886381370281,53.30007615626531,0,0.39198458194732666,N/A
2011,1,1,10,0,253,563,668,161,765,725,20,25.71245935258031,950.614501953125,71.56706122529187,42.59320042537778,0,0.4055436849594116,N/A
2011,1,1,11,0,249,648,781,170,799,826,19,26.829975826681334,949.703857421875,66.05714967563625,34.88796221144215,0,0.38285842537879944,N/A
2011,1,1,12,0,172,808,855,172,808,855,19,27.350829888095916,948.6261596679688,64.17485176524649,32.41598227664833,0,0.33626359701156616,N/A
2011,1,1,13,0,168,794,809,168,794,809,20,27.461168317140334,947.3365478515625,64.22504796366934,36.267313555803895,0,0.2850854992866516,N/A
2011,1,1,14,0,197,681,680,158,753,692,20,27.17226306380718,946.801513671875,66.09634119286306,44.83712204184121,0,0.23144257068634033,N/A
2011,1,1,15,0,192,566,509,140,673,517,20,26.60772188248893,946.879638671875,69.61244010882606,55.990015200487036,0,0.1761142611503601,N/A
2011,1,1,16,0,161,102,199,109,525,302,21,25.817654652644137,947.2681274414062,76.4471813686607,68.46094829309727,0,0.14499607682228088,N/A
2011,1,1,17,0,44,0,44,53,228,87,21,24.82017123128162,947.7698974609375,84.00071502508689,81.6278393835611,0,0.12758830189704895,N/A
2011,1,1,18,0,0,0,0,0,0,0,23,24.45793869388217,948.7766723632812,92.12127169445849,95.17554483999066,0,0.12756218016147614,N/A
2011,1,1,19,0,0,0,0,0,0,0,22,23.965132871212404,949.7357788085938,93.95704845527963,108.91671893724626,0,0.12047263979911804,N/A
2011,1,1,20,0,0,0,0,0,0,0,22,23.462563398758732,950.4456787109375,95.03928375737381,122.71326135817203,0,0.11480888724327087,N/A
2011,1,1,21,0,0,0,0,0,0,0,22,22.94189866840901,950.4913940429688,96.14203974547935,136.4026321829467,0,0.11318498104810715,N/A
2011,1,1,22,0,0,0,0,0,0,0,22,22.49442898773259,950.202392578125,97.09453641808496,149.6529460272133,0,0.1242545023560524,N/A
2011,1,1,23,0,0,0,0,0,0,0,21,22.142723033022378,949.9197998046875,97.27307881293392,161.31831913745265,0,0.14924761652946472,N/A
2011,1,2,0,0,0,0,0,0,0,0,21,21.872058267536318,948.9981689453125,94.88453957909759,166.27654389039566,0,0.18599183857440948,N/A
2011,1,2,1,0,0,0,0,0,0,0,20,21.690296070102647,948.2970581054688,92.45396508502976,159.027312418564,0,0.1954733282327652,N/A
2011,1,2,2,0,0,0,0,0,0,0,20,21.64143513253441,947.8722534179688,91.51440159551115,146.80098575406788,0,0.15976691246032715,N/A
2011,1,2,3,0,0,0,0,0,0,0,20,21.53370336322422,947.6815185546875,91.11094938825126,133.40262508365836,0,0.1502765417098999,N/A
2011,1,2,4,0,0,0,0,0,0,0,19,21.394763454390272,947.9585571289062,90.92443260545771,119.66850805616053,0,0.16508916020393372,N/A
2011,1,2,5,0,0,0,0,0,0,0,19,21.232036115847393,948.6586303710938,91.0002863504825,105.86893609371839,0,0.19059216976165771,N/A
2011,1,2,6,0,0,0,0,0,0,0,19,21.323599220838275,949.499267578125,90.47357443265774,92.1534974015678,0,0.21823090314865112,N/A
2011,1,2,7,0,80,248,129,69,313,131,20,22.302348692393366,950.4024658203125,87.89533748308936,78.6646158460024,0,0.23260857164859772,N/A
2011,1,2,8,0,161,381,319,118,566,352,20,23.547191985002826,950.9281616210938,85.3765904006128,65.60830125137255,0,0.2731879949569702,N/A
2011,1,2,9,0,233,456,506,145,694,560,21,25.374718698241452,950.9241943359375,80.94686639189975,53.34688141428838,0,0.3139156699180603,N/A
2011,1,2,10,0,161,763,723,161,763,723,21,26.50632423182992,950.7614135742188,76.23004152879744,42.60779288776545,0,0.29681918025016785,N/A
2011,1,2,11,0,169,797,824,169,797,824,21,27.260044308447846,949.5631713867188,72.20318366997779,34.854181513055856,0,0.2404741793870926,N/A
2011,1,2,12,0,172,806,853,172,806,853,21,27.49899832192142,948.4143676757812,70.43630535126502,32.32627022841062,0,0.17326484620571136,N/A
2011,1,2,13,0,168,791,807,168,791,807,21,27.23383827328746,947.324951171875,71.87451826283889,36.14150887737791,0,0.09480168670415878,N/A
2011,1,2,14,0,158,750,691,158,750,691,21,26.776042981227192,947.1043701171875,74.94043180635884,44.700319381326686,0,0.06689662486314774,N/A
2011,1,2,15,0,197,514,486,140,671,516,22,26.206000036548005,947.4559326171875,79.81459677723687,55.85404034257232,0,0.06540278345346451,N/A
2011,1,2,16,0,109,523,303,109,523,303,22,25.265914717635724,948.2365112304688,85.48255689631846,68.32968648065857,0,0.10284605622291565,N/A
2011,1,2,17,0,49,42,56,54,229,88,22,24.349126121593088,949.1964721679688,89.91304326452489,81.50254383813018,0,0.15812842547893524,N/A
2011,1,2,18,0,0,0,0,0,0,0,22,23.935885630896223,949.9844360351562,92.94642979175785,95.05684761951883,0,0.19306127727031708,N/A
2011,1,2,19,0,0,0,0,0,0,0,22,23.693525555182703,951.0834350585938,94.6213209794103,108.80548335979341,0,0.21822692453861237,N/A
2011,1,2,20,0,0,0,0,0,0,0,22,23.452182746065603,951.1493530273438,95.5591146267935,122.61115416281403,0,0.25250035524368286,N/A
2011,1,2,21,0,0,0,0,0,0,0,22,23.1886413766984,951.2244873046875,96.14099647947289,136.31330601418722,0,0.2682693302631378,N/A
2011,1,2,22,0,0,0,0,0,0,0,22,22.897211145398046,950.6130981445312,95.9694591974719,149.58571682092168,0,0.2789972722530365,N/A
2011,1,2,23,0,0,0,0,0,0,0,21,22.59333242549593,950.2188110351562,95.69145983557334,161.302964078999,0,0.2571479380130768,N/A
2011,1,3,0,0,0,0,0,0,0,0,21,22.36434712490751,949.7487182617188,95.6199340064898,166.37634283198474,0,0.23188596963882446,N/A
2011,1,3,1,0,0,0,0,0,0,0,21,22.14529478732834,948.912109375,95.77618496092549,159.16625405291273,0,0.20828303694725037,N/A
2011,1,3,2,0,0,0,0,0,0,0,21,21.973660431250266,948.6776123046875,95.52096406092166,146.9313142088186,0,0.19050486385822296,N/A
2011,1,3,3,0,0,0,0,0,0,0,20,21.823815905507672,948.9518432617188,94.99769885557711,133.52261747851477,0,0.1937521994113922,N/A
2011,1,3,4,0,0,0,0,0,0,0,20,21.64956916373535,949.3734741210938,94.80114882794953,119.77911102629508,0,0.1977371722459793,N/A
2011,1,3,5,0,0,0,0,0,0,0,20,21.489544640907184,950.0447998046875,94.71883454958862,105.97031596209227,0,0.20546893775463104,N/A
2011,1,3,6,0,0,0,0,0,0,0,20,21.509077876033246,950.8441772460938,94.13499640951129,92.24488118839157,0,0.2052984982728958,N/A
2011,1,3,7,0,69,310,129,69,310,129,20,22.056162014479128,951.9867553710938,92.8630619318343,78.7440962803367,0,0.22341972589492798,N/A
2011,1,3,8,0,117,564,350,117,564,350,21,22.942909565995365,952.5573120117188,90.28868764480949,65.67229799273895,0,0.31162264943122864,N/A
2011,1,3,9,0,243,413,490,145,693,558,21,23.836847379552125,952.4368286132812,87.32522206756367,53.388906788657934,0,0.36640068888664246,N/A
2011,1,3,10,0,349,323,587,161,762,722,21,24.692884989388347,952.0530395507812,83.70891649212712,42.616516964104655,0,0.41480228304862976,N/A
2011,1,3,11,0,402,153,528,170,797,824,21,25.474805203837093,951.2254638671875,79.42895404689551,34.813482820352256,0,0.44874414801597595,N/A
2011,1,3,12,0,413,54,459,172,806,854,21,26.07935361307517,949.901123046875,75.04874421845167,32.22939068433273,0,0.45587408542633057,N/A
2011,1,3,13,0,323,21,340,168,792,809,20,26.308538086539727,949.1376342773438,72.4414130678739,36.00971464057348,0,0.45192229747772217,N/A
2011,1,3,14,0,190,9,197,158,752,694,20,26.11754907713089,948.3017578125,72.11903526420646,44.55927440489768,0,0.46659788489341736,N/A
2011,1,3,15,0,269,124,339,140,673,520,20,25.532698387515836,948.7662963867188,74.92459720795085,55.715328334557995,0,0.4337330162525177,N/A
2011,1,3,16,0,187,302,300,110,527,306,21,24.662265604355753,949.2835693359375,81.34594928250503,68.19684929211999,0,0.3658358156681061,N/A
2011,1,3,17,0,18,0,18,55,234,90,20,23.62606711745633,950.3685913085938,85.20469444623082,81.37659092904916,0,0.38388434052467346,N/A
2011,1,3,18,0,0,0,0,0,0,0,20,23.020052198536234,951.2599487304688,87.20641079791763,94.93826954968029,0,0.4516826868057251,N/A
2011,1,3,19,0,0,0,0,0,0,0,20,22.592955729562675,952.1029663085938,88.42567645937872,108.6950783231404,0,0.4992888569831848,N/A
2011,1,3,20,0,0,0,0,0,0,0,20,22.230866331041625,952.5486450195312,89.42737774748342,122.5105965490741,0,0.5089300274848938,N/A
2011,1,3,21,0,0,0,0,0,0,0,20,21.889434349977137,952.1871948242188,90.14818371661019,136.22634833731553,0,0.5010524988174438,N/A
