Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,34693,-,-,-,9.35,77.55,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2006,1,1,0,0,0,0,0,0,0,0,17,19.788851751620996,954.2594604492188,85.0879346251703,166.1805956862468,0,0.5058640837669373,N/A
2006,1,1,1,0,0,0,0,0,0,0,17,19.7074797725121,953.461669921875,86.06970787107112,158.88961111703415,0,0.5039923191070557,N/A
2006,1,1,2,0,0,0,0,0,0,0,17,19.77564180626746,953.4814453125,86.21160740060945,146.67011341689962,0,0.49727240204811096,N/A
2006,1,1,3,0,0,0,0,0,0,0,17,19.794296347286775,953.4852294921875,86.6204677978445,133.28116807126986,0,0.5001770853996277,N/A
2006,1,1,4,0,0,0,0,0,0,0,17,19.684593091726526,953.6825561523438,87.65401598437272,119.55584711722086,0,0.511899471282959,N/A
2006,1,1,5,0,0,0,0,0,0,0,16,18.777199878893157,955.0460205078125,86.88866749278161,105.79074183080895,0,0.6299096345901489,N/A
2006,1,1,6,0,0,0,0,0,0,0,16,18.981783103967302,955.82763671875,85.29835393106531,92.08271020804763,0,0.6345555186271667,N/A
2006,1,1,7,0,72,329,137,72,329,137,16,20.52303196089025,956.0833129882812,78.26695224018272,78.60268402237517,0,0.6405705213546753,N/A
2006,1,1,8,0,121,582,362,121,582,362,16,22.600271427158816,956.2649536132812,69.76268756970967,65.55795929790784,0,0.752313494682312,N/A
2006,1,1,9,0,148,711,573,148,711,573,16,24.209389860848376,955.9662475585938,64.05546473115811,53.31305027919651,0,0.8047017455101013,N/A
2006,1,1,10,0,164,779,738,164,779,738,17,25.398880177351828,955.6831665039062,60.459908446894104,42.599096630649825,0,0.8195228576660156,N/A
2006,1,1,11,0,173,811,839,173,811,839,17,26.216240453290936,954.7241821289062,58.277243784382335,34.88295418331734,0,0.8092517256736755,N/A
2006,1,1,12,0,175,819,867,175,819,867,17,26.655513001740132,953.487548828125,57.46290664506216,32.39789787633162,0,0.7832987904548645,N/A
2006,1,1,13,0,171,803,819,171,803,819,17,26.784768882074957,952.4657592773438,58.007659802587966,36.240215963347296,0,0.7482092976570129,N/A
2006,1,1,14,0,161,760,701,161,760,701,17,26.531148758088534,952.177734375,59.22695401353925,44.80672343396558,0,0.7121910452842712,N/A
2006,1,1,15,0,167,629,520,142,680,523,17,25.95390383943385,952.2305908203125,61.491360585774146,55.959207592702185,0,0.670413076877594,N/A
2006,1,1,16,0,146,379,286,111,531,307,18,24.930313896562097,952.6142578125,66.75684936479148,68.43077970093401,0,0.5567742586135864,N/A
2006,1,1,17,0,56,39,62,54,234,89,18,23.767071589220905,953.0692138671875,71.51338028855152,81.59869288687366,0,0.5184450745582581,N/A
2006,1,1,18,0,0,0,0,0,0,0,18,23.097692715828828,953.9677734375,74.1141718998149,95.14763328950004,0,0.5261188745498657,N/A
2006,1,1,19,0,0,0,0,0,0,0,18,22.643386050868287,954.8287963867188,76.47822359412153,108.8902563382128,0,0.5037586688995361,N/A
2006,1,1,20,0,0,0,0,0,0,0,18,22.245288330055757,955.1515502929688,78.60128666353062,122.68862551475661,0,0.5353097915649414,N/A
2006,1,1,21,0,0,0,0,0,0,0,18,21.87142308747451,955.0132446289062,80.26592422829725,136.38062039557465,0,0.5880534648895264,N/A
2006,1,1,22,0,0,0,0,0,0,0,18,21.51112043410626,954.8651123046875,81.80737328145699,149.63559207446943,0,0.6208847165107727,N/A
2006,1,1,23,0,0,0,0,0,0,0,18,21.16623002039023,954.23828125,82.97670350821485,161.31227543709926,0,0.6423845887184143,N/A
2006,1,2,0,0,0,0,0,0,0,0,17,20.839300368572253,953.3958129882812,83.47455004491951,166.29700249686303,0,0.65276038646698,N/A
