Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,34693,-,-,-,9.35,77.55,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2004,1,1,0,0,0,0,0,0,0,0,21,22.484099941870284,953.7138671875,95.16530755612119,166.22474537496277,0,0.30585283041000366,N/A
2004,1,1,1,0,0,0,0,0,0,0,21,22.287903225427783,953.1375732421875,95.04547181361906,158.95540330236187,0,0.2987386882305145,N/A
2004,1,1,2,0,0,0,0,0,0,0,21,22.097557613503852,952.7021484375,95.0692434597937,146.73345967713595,0,0.2974799871444702,N/A
2004,1,1,3,0,0,0,0,0,0,0,21,21.91900522976266,952.9201049804688,95.0797264354037,133.34041774257958,0,0.305859237909317,N/A
2004,1,1,4,0,0,0,0,0,0,0,20,21.754744874175344,953.4078979492188,95.02217802201665,119.6111513178646,0,0.3260106146335602,N/A
2004,1,1,5,0,0,0,0,0,0,0,19,20.927138806965047,953.9254760742188,90.39663626413382,105.73835910685003,0,0.5141168236732483,N/A
2004,1,1,6,0,0,0,0,0,0,0,19,20.996809225908407,954.9894409179688,89.62946899121057,92.03493142420159,0,0.5188701748847961,N/A
2004,1,1,7,0,71,330,136,71,330,136,19,21.822032826442637,955.876220703125,86.00578318043739,78.56046522452637,0,0.541728675365448,N/A
2004,1,1,8,0,118,584,361,118,584,361,19,23.675363830180288,956.1956176757812,77.7987083838019,65.52305728012595,0,0.6916013360023499,N/A
2004,1,1,9,0,145,712,571,145,712,571,19,25.06922542876964,955.9911499023438,72.41725245786691,53.28866212086506,0,0.7732040882110596,N/A
2004,1,1,10,0,161,780,736,161,780,736,20,26.153289135303453,955.4539794921875,69.25369779483364,42.590856795278505,0,0.7939497232437134,N/A
2004,1,1,11,0,170,813,837,170,813,837,20,26.754562720930778,954.5335693359375,68.29796405386676,34.8990421236321,0,0.768867015838623,N/A
2004,1,1,12,0,415,172,561,172,821,865,20,27.106422406071715,953.2459716796875,67.15141049763923,32.442235348362416,0,0.7614967823028564,N/A
2004,1,1,13,0,412,148,532,168,806,818,20,26.73336077046946,952.1995849609375,68.2125148764626,36.30297173290771,0,0.7292506098747253,N/A
2004,1,1,14,0,348,197,488,158,764,699,20,26.434373752690533,951.720458984375,72.00813169532782,44.87530188546249,0,0.6842325925827026,N/A
2004,1,1,15,0,242,387,459,139,684,522,21,25.86427009204914,951.5795288085938,76.09246247362684,56.02759571276406,0,0.6027039885520935,N/A
2004,1,1,16,0,168,189,238,109,535,305,21,24.92418672312658,951.9932861328125,81.6833898199187,68.49695964570094,0,0.5779441595077515,N/A
2004,1,1,17,0,58,199,87,54,235,88,21,23.992073235692885,952.7003784179688,84.67856382201664,81.66199233645497,0,0.5783414840698242,N/A
2004,1,1,18,0,0,0,0,0,0,0,21,23.419767755736302,953.5852661132812,86.99401224340771,95.20770973231222,0,0.5935415029525757,N/A
2004,1,1,19,0,0,0,0,0,0,0,20,22.939220701740282,954.2716064453125,88.67940612464169,108.94666055455589,0,0.5988045930862427,N/A
2004,1,1,20,0,0,0,0,0,0,0,20,22.406484213858448,954.5687255859375,90.30081164549041,122.7405120199509,0,0.6075415015220642,N/A
2004,1,1,21,0,0,0,0,0,0,0,20,21.861722522839273,954.7431640625,91.45581583183902,136.42614972812527,0,0.6012595295906067,N/A
2004,1,1,22,0,0,0,0,0,0,0,20,21.426768819764106,954.8167114257812,92.04101124408129,149.67007465840334,0,0.5733753442764282,N/A
2004,1,1,23,0,0,0,0,0,0,0,19,21.07910181029763,954.8992919921875,92.28027082139668,161.3206909523543,0,0.5285633206367493,N/A
2004,1,2,0,0,0,0,0,0,0,0,19,20.757641778550294,954.4213256835938,92.66820021332569,166.24740997513203,0,0.48414289951324463,N/A
2004,1,2,1,0,0,0,0,0,0,0,19,20.478061461383675,953.6535034179688,93.05942945512348,158.98863785560667,0,0.46261700987815857,N/A
2004,1,2,2,0,0,0,0,0,0,0,19,20.19803085770343,953.4331665039062,93.49834189850186,146.76526124682718,0,0.44827383756637573,N/A
2004,1,2,3,0,0,0,0,0,0,0,18,19.961119616410883,953.2653198242188,93.77794957164866,133.3700526845207,0,0.44147107005119324,N/A
2004,1,2,4,0,0,0,0,0,0,0,18,19.84299940521288,953.5864868164062,93.39203713474103,119.63873226704678,0,0.4489051103591919,N/A
2004,1,2,5,0,0,0,0,0,0,0,18,19.701855217527964,953.7713012695312,93.2201102212601,105.84187503901717,0,0.46463271975517273,N/A
2004,1,2,6,0,0,0,0,0,0,0,18,19.765179461775347,954.6646728515625,92.4233490544782,92.12935412706904,0,0.48279571533203125,N/A
2004,1,2,7,0,72,312,134,71,332,136,18,20.392936094929155,955.509521484375,89.10676187959592,78.64391311354811,0,0.5579570531845093,N/A
2004,1,2,8,0,119,589,362,119,589,362,18,21.9241321279614,956.0245971679688,83.31782698158331,65.59205866965655,0,0.6656923890113831,N/A
2004,1,2,9,0,146,717,574,146,717,574,19,23.561671354726514,955.9138793945312,76.05321225859839,53.33691023335187,0,0.7347501516342163,N/A
2004,1,2,10,0,162,787,741,162,787,741,18,25.08801829073957,955.5440673828125,68.97763716825864,42.60722663895229,0,0.7734635472297668,N/A
2004,1,2,11,0,163,821,837,170,821,844,18,26.223378654771295,954.5215454101562,63.93533556314709,34.86735943320587,0,0.7989146113395691,N/A
2004,1,2,12,0,173,830,874,173,830,874,18,26.81447332610037,953.4937133789062,61.672827571683555,32.35469307132026,0,0.7996745109558105,N/A
2004,1,2,13,0,169,816,828,169,816,828,18,26.928309703732793,952.5764770507812,60.92374115433551,36.178976662228386,0,0.7996147274971008,N/A
2004,1,2,14,0,264,526,638,159,775,710,18,26.680031831760175,952.0391235351562,61.680722461204404,44.739781907456425,0,0.7827903628349304,N/A
2004,1,2,15,0,141,695,531,141,695,531,18,26.043764590099727,952.006591796875,63.21644849606158,55.89245086918508,0,0.758302628993988,N/A
2004,1,2,16,0,136,452,303,110,546,312,18,25.061176898577457,952.307861328125,67.74536024692547,68.36617884537176,0,0.6143521666526794,N/A
2004,1,2,17,0,60,93,74,55,246,91,18,23.951338213186943,953.0276489257812,72.90763441773663,81.53690218800054,0,0.5383286476135254,N/A
2004,1,2,18,0,0,0,0,0,0,0,18,23.55806735671655,953.6110229492188,75.07251392708721,95.08898078667922,0,0.5161161422729492,N/A
2004,1,2,19,0,0,0,0,0,0,0,19,23.179783205356728,954.4347534179688,77.74986076843331,108.83517746445447,0,0.4999036192893982,N/A
2004,1,2,20,0,0,0,0,0,0,0,19,22.764654914555422,954.928955078125,80.33335317877925,122.63793829952154,0,0.5042550563812256,N/A
2004,1,2,21,0,0,0,0,0,0,0,19,22.382802561004837,955.1753540039062,82.374612782291,136.33610615310863,0,0.505450427532196,N/A
2004,1,2,22,0,0,0,0,0,0,0,19,22.05179039248219,955.1616821289062,84.0918393670036,149.6017937538911,0,0.5097405314445496,N/A
2004,1,2,23,0,0,0,0,0,0,0,19,21.753388440985418,955.0689086914062,85.30352946430709,161.3037691676792,0,0.5154263973236084,N/A
2004,1,3,0,0,0,0,0,0,0,0,19,21.33569676310441,954.548095703125,86.7714931948736,166.34517839418191,0,0.5210252404212952,N/A
2004,1,3,1,0,0,0,0,0,0,0,18,20.788737852080317,954.0889892578125,88.79840951465125,159.1264775851318,0,0.5221826434135437,N/A
2004,1,3,2,0,0,0,0,0,0,0,18,20.27098869808009,953.7762451171875,90.91825036031659,146.89521760351224,0,0.48900455236434937,N/A
2004,1,3,3,0,0,0,0,0,0,0,18,19.835781961107614,953.8574829101562,92.44155814385944,133.4900737497162,0,0.4645756483078003,N/A
2004,1,3,4,0,0,0,0,0,0,0,18,19.60118941314164,954.1136474609375,92.29781117407977,119.74963612504953,0,0.4520295262336731,N/A
2004,1,3,5,0,0,0,0,0,0,0,17,19.530292126987206,954.5721435546875,90.5749712143591,105.94377740284499,0,0.45516663789749146,N/A
2004,1,3,6,0,0,0,0,0,0,0,17,19.63030809753417,955.213623046875,89.2374968364932,92.22146653281052,0,0.4434102177619934,N/A
2004,1,3,7,0,87,104,108,70,331,135,17,20.659958547321196,956.12646484375,83.40960190337917,78.72433621734339,0,0.5034003257751465,N/A
2004,1,3,8,0,174,267,285,119,588,361,17,22.391629638335587,956.7282104492188,75.66821227359316,65.65723402042653,0,0.5204562544822693,N/A
2004,1,3,9,0,231,456,504,146,717,574,17,24.19234931508697,956.605224609375,67.90165981790236,53.38039207045655,0,0.5367012619972229,N/A
2004,1,3,10,0,250,601,693,162,786,741,17,25.473992033130628,956.1287231445312,62.94346367064041,42.61773181882375,0,0.5284456610679626,N/A
2004,1,3,11,0,392,245,594,170,820,844,17,26.37381873633791,955.226318359375,59.85970572082208,34.828754502503074,0,0.5060606598854065,N/A
2004,1,3,12,0,293,557,765,173,829,874,18,26.84561635876622,954.3524780273438,58.44074254902347,32.25997347477681,0,0.48861297965049744,N/A
2004,1,3,13,0,257,582,728,169,815,828,18,26.959429850620893,953.3712768554688,58.369295343568496,36.048972213290924,0,0.47702789306640625,N/A
2004,1,3,14,0,293,475,632,159,774,710,18,26.65030254176429,952.7762451171875,59.17101409940746,44.59999015407866,0,0.5119799971580505,N/A
2004,1,3,15,0,238,42,262,141,695,532,18,25.921563577678967,952.9275512695312,61.79920818745052,55.754535221703804,0,0.5457611083984375,N/A
2004,1,3,16,0,62,0,62,111,547,314,18,24.839143027052444,953.3084716796875,67.18234820978158,68.23378785965653,0,0.5031945705413818,N/A
2004,1,3,17,0,48,0,48,56,250,93,18,23.790131221878312,953.9291381835938,71.71696394490895,81.41112142664618,0,0.5196859836578369,N/A
2004,1,3,18,0,0,0,0,0,0,0,18,23.206047941897793,954.82373046875,74.18167718542077,94.97034075356292,0,0.5356459617614746,N/A
2004,1,3,19,0,0,0,0,0,0,0,18,22.687176242056125,955.415283203125,77.08725945291296,108.72449828096717,0,0.5401352047920227,N/A
2004,1,3,20,0,0,0,0,0,0,0,18,22.214100881621732,955.7191162109375,79.68266650912767,122.53689252413005,0,0.5440341234207153,N/A
2004,1,3,21,0,0,0,0,0,0,0,18,21.734501074266802,955.796142578125,81.84057492915196,136.24841685421552,0,0.5406457185745239,N/A
2004,1,3,22,0,0,0,0,0,0,0,18,21.244018627455716,955.569580078125,83.81272417312793,149.53696085946174,0,0.5339806079864502,N/A
2004,1,3,23,0,0,0,0,0,0,0,18,20.731215570188624,955.4430541992188,85.86989850663691,161.29196008497107,0,0.5242602229118347,N/A
2004,1,4,0,0,0,0,0,0,0,0,18,20.21187595017352,954.9684448242188,87.9846302991862,166.44961571122496,0,0.5075748562812805,N/A
2004,1,4,1,0,0,0,0,0,0,0,18,19.69295623391588,954.215576171875,90.22902989575304,159.26799015207638,0,0.4921770989894867,N/A
2004,1,4,2,0,0,0,0,0,0,0,17,19.27213293309967,953.8693237304688,91.36798331629362,147.02642250201617,0,0.47741419076919556,N/A
2004,1,4,3,0,0,0,0,0,0,0,17,19.060849075736712,954.0961303710938,90.27138122117532,133.61001033475318,0,0.4652392268180847,N/A
2004,1,4,4,0,0,0,0,0,0,0,17,18.81705323791732,954.1038208007812,89.83715963952751,119.85955122891133,0,0.4414661228656769,N/A
2004,1,4,5,0,0,0,0,0,0,0,16,18.484133491358534,954.3850708007812,90.90465069996957,106.04395593067817,0,0.4575909674167633,N/A
2004,1,4,6,0,0,0,0,0,0,0,16,18.697178695068658,955.3305053710938,88.89235972348432,92.31117237718584,0,0.4595717191696167,N/A
2004,1,4,7,0,71,336,136,71,336,136,16,20.317861689807955,956.1983642578125,80.0869949688506,78.80165008594396,0,0.5264507532119751,N/A
2004,1,4,8,0,119,598,365,119,598,365,17,22.696187193281673,956.1236572265625,70.6156526625144,65.718521152232,0,0.5650578141212463,N/A
2004,1,4,9,0,147,727,580,147,727,580,17,24.534678263166768,956.1763305664062,64.01671269561953,53.4190705388272,0,0.5686822533607483,N/A
2004,1,4,10,0,163,796,749,163,796,749,17,25.942346871435063,955.6412963867188,59.737332799227296,42.62236446295238,0,0.5442845225334167,N/A
2004,1,4,11,0,171,829,852,171,829,852,17,26.918681492218695,954.78857421875,57.42009629997267,34.78324451941128,0,0.5227934122085571,N/A
2004,1,4,12,0,173,836,882,173,836,882,17,27.42372284856748,953.482421875,56.245321229726244,32.15811166654482,0,0.5134368538856506,N/A
2004,1,4,13,0,170,820,834,170,820,834,18,27.484265877934376,952.7333984375,56.310806124103365,35.91302661994067,0,0.5155056715011597,N/A
2004,1,4,14,0,159,778,715,159,778,715,18,27.082165261128296,952.3142700195312,57.60929688172802,44.456027303231856,0,0.5392624139785767,N/A
2004,1,4,15,0,268,262,416,141,698,536,18,26.32457866512857,952.184326171875,60.249417036694744,55.61396449807642,0,0.5504724979400635,N/A
2004,1,4,16,0,156,316,274,111,550,317,18,25.176309221104702,952.6727905273438,65.10345923161688,68.09990541597722,0,0.498519629240036,N/A
2004,1,4,17,0,60,80,73,56,253,95,18,24.019679640739525,953.3758544921875,70.90045691433228,81.28476576640924,0,0.5066541433334351,N/A
2004,1,4,18,0,0,0,0,0,0,0,18,23.327314745383376,954.3306274414062,75.55571563317717,94.85189332010513,0,0.5286483764648438,N/A
2004,1,4,19,0,0,0,0,0,0,0,18,22.857786841703728,955.1244506835938,78.6174053521018,108.61471460073167,0,0.5289374589920044,N/A
2004,1,4,20,0,0,0,0,0,0,0,19,22.462952595623506,955.7500610351562,81.66792614024361,122.43744946256854,0,0.539902925491333,N/A
2004,1,4,21,0,0,0,0,0,0,0,19,22.082248132947257,955.7886352539062,84.69987803255475,136.16313155529804,0,0.5567554831504822,N/A
2004,1,4,22,0,0,0,0,0,0,0,19,21.690769658100805,955.5187377929688,87.5923515612776,149.47558449167929,0,0.5636281967163086,N/A
2004,1,4,23,0,0,0,0,0,0,0,19,21.363448216097538,955.1630859375,90.02318377531047,161.28521024549377,0,0.5682036876678467,N/A
2004,1,5,0,0,0,0,0,0,0,0,19,21.23339073344897,954.6677856445312,90.80587525668675,166.56069627695172,0,0.5755204558372498,N/A
2004,1,5,1,0,0,0,0,0,0,0,19,21.178644174082535,953.8641357421875,91.13355379474321,159.4130620820178,0,0.5742726922035217,N/A
2004,1,5,2,0,0,0,0,0,0,0,19,21.06403571419355,953.5655517578125,91.57307587200441,147.15873320761892,0,0.549995481967926,N/A
2004,1,5,3,0,0,0,0,0,0,0,19,20.97748932465197,953.7081909179688,91.80120138709283,133.72972665944673,0,0.5304421186447144,N/A
2004,1,5,4,0,0,0,0,0,0,0,19,20.93005475263817,953.9657592773438,91.52844544763575,119.96835441681742,0,0.5293141603469849,N/A
2004,1,5,5,0,0,0,0,0,0,0,19,20.82896053586842,954.93310546875,91.72755488018416,106.14230130282695,0,0.4903227388858795,N/A
2004,1,5,6,0,0,0,0,0,0,0,19,21.061256958848844,955.9518432617188,90.21262010297801,92.39837733820835,0,0.49935072660446167,N/A
2004,1,5,7,0,72,300,130,69,320,131,19,22.11208578655902,956.438232421875,84.06863003496275,78.8757836407516,0,0.5146569609642029,N/A
2004,1,5,8,0,174,325,308,118,578,355,19,23.600787976903803,956.702880859375,75.85299253514503,65.77586313316698,0,0.51922208070755,N/A
2004,1,5,9,0,145,708,567,145,708,567,18,25.110227265742765,956.3759765625,68.79831475972303,53.45291358189957,0,0.4867817163467407,N/A
2004,1,5,10,0,161,778,734,161,778,734,19,26.447513913731427,955.9068603515625,63.909860245450325,42.62112066751628,0,0.4170207679271698,N/A
2004,1,5,11,0,170,813,839,170,813,839,19,27.45253158135631,954.8411254882812,60.75789103491391,34.730849498238356,0,0.34045740962028503,N/A
2004,1,5,12,0,204,762,850,172,823,870,19,27.999872974636446,953.58740234375,59.377371768589825,32.04914473410363,0,0.27335456013679504,N/A
2004,1,5,13,0,192,760,809,169,810,826,19,28.11009766331574,952.5204467773438,59.58818190907027,35.771210641057486,0,0.2344672977924347,N/A
2004,1,5,14,0,194,717,708,159,770,710,19,27.76590414590339,951.9962768554688,60.93073325199341,44.30799639034971,0,0.26501786708831787,N/A
2004,1,5,15,0,207,491,486,141,692,534,19,27.10721404674547,951.9768676757812,63.215202197228,55.4708549811583,0,0.33104780316352844,N/A
2004,1,5,16,0,111,547,317,111,547,317,19,25.953525712643795,952.280517578125,69.23339046296637,67.96464834338536,0,0.36745989322662354,N/A
2004,1,5,17,0,57,254,96,57,254,96,19,24.749142124091236,953.0032348632812,74.44364774267235,81.15794588633646,0,0.43342337012290955,N/A
2004,1,5,18,0,0,0,0,0,0,0,19,24.10149400520436,954.1273193359375,77.4889125316462,94.73374086887766,0,0.47106286883354187,N/A
2004,1,5,19,0,0,0,0,0,0,0,20,23.51471910710154,954.8856811523438,81.47399889778848,108.50591571841619,0,0.4688069224357605,N/A
2004,1,5,20,0,0,0,0,0,0,0,20,22.913372360006633,955.3412475585938,85.54087284335998,122.33968060968584,0,0.43432092666625977,N/A
2004,1,5,21,0,0,0,0,0,0,0,20,22.417276176551468,955.7139892578125,88.95528971435779,136.0802957359229,0,0.4044624865055084,N/A
2004,1,5,22,0,0,0,0,0,0,0,20,22.069245675417562,955.5422973632812,90.89035542502867,149.41766805148393,0,0.3880702257156372,N/A
2004,1,5,23,0,0,0,0,0,0,0,20,21.851443840861407,955.4541015625,91.94602410407155,161.28346079806977,0,0.3880203664302826,N/A
2004,1,6,0,0,0,0,0,0,0,0,20,21.646384601364048,954.6683959960938,92.6885151178258,166.67839177275522,0,0.38516226410865784,N/A
2004,1,6,1,0,0,0,0,0,0,0,20,21.445375609795065,953.8189697265625,93.03700583749355,159.5615725669099,0,0.3810614347457886,N/A
2004,1,6,2,0,0,0,0,0,0,0,20,21.25179584264697,953.5852661132812,93.02669997783507,147.29200240340714,0,0.4138840436935425,N/A
2004,1,6,3,0,0,0,0,0,0,0,19,21.084974838789208,953.3851318359375,93.04073532524318,133.8490850213464,0,0.4470990300178528,N/A
2004,1,6,4,0,0,0,0,0,0,0,19,20.937375270194025,953.6605834960938,93.17242752805292,120.07592236389812,0,0.46536165475845337,N/A
2004,1,6,5,0,0,0,0,0,0,0,19,20.83255836319597,954.3192749023438,93.2786886940549,106.2387052889108,0,0.47784408926963806,N/A
2004,1,6,6,0,0,0,0,0,0,0,19,20.95685256342307,955.3638916015625,92.46574392439864,92.4829891532257,0,0.4882006347179413,N/A
2004,1,6,7,0,69,319,130,69,319,130,19,21.66738799301379,955.9161987304688,89.12755208381178,78.9466524460951,0,0.5280523300170898,N/A
2004,1,6,8,0,184,189,262,117,579,355,20,22.88931977782653,956.2166137695312,84.22467738422259,65.82920486299507,0,0.6260066628456116,N/A
2004,1,6,9,0,212,561,546,145,710,568,20,24.238836177430414,956.2908325195312,78.41784957256584,53.48189211514417,0,0.646682858467102,N/A
2004,1,6,10,0,311,58,354,161,780,736,20,25.52089970550651,955.7034301757812,72.36138138684136,42.61400017505569,0,0.6181552410125732,N/A
2004,1,6,11,0,402,141,518,170,815,841,19,26.4914829200751,954.5598754882812,67.30091303911861,34.67159257930342,0,0.580401599407196,N/A
2004,1,6,12,0,359,437,730,172,825,873,19,27.227758590257963,953.39208984375,64.59784087077647,31.933112574064083,0,0.5380960702896118,N/A
2004,1,6,13,0,317,464,695,169,811,829,19,27.46635730718947,952.417724609375,63.79380764259957,35.62359822715175,0,0.5000030994415283,N/A
2004,1,6,14,0,288,456,616,159,771,712,19,27.266725268177936,951.9214477539062,64.14871507789294,44.15600327485793,0,0.48690977692604065,N/A
2004,1,6,15,0,214,561,534,141,693,536,20,26.546097115309692,952.1133422851562,67.8421141826956,55.32532451680029,0,0.465693861246109,N/A
2004,1,6,16,0,167,108,208,112,548,318,20,25.58793991224809,952.409423828125,74.16683311245482,67.82813320112524,0,0.40731799602508545,N/A
2004,1,6,17,0,33,0,33,57,257,97,20,24.518080645985606,952.7091674804688,79.37857212502854,81.03076917182185,0,0.44910356402397156,N/A
2004,1,6,18,0,0,0,0,0,0,0,20,23.844151979802973,953.5301513671875,82.82087691083242,94.61598436609864,0,0.471405565738678,N/A
2004,1,6,19,0,0,0,0,0,0,0,20,23.294999230480983,953.9275512695312,86.05079924969341,108.39818853914083,0,0.46907469630241394,N/A
2004,1,6,20,0,0,0,0,0,0,0,20,22.818929466308987,954.1158447265625,88.47953218985776,122.24365413438616,0,0.4673847556114197,N/A
2004,1,6,21,0,0,0,0,0,0,0,20,22.411059061644266,954.3724975585938,90.08159606975738,135.99995062557542,0,0.4724161922931671,N/A
2004,1,6,22,0,0,0,0,0,0,0,20,22.09446076728318,954.3684692382812,90.81053464745287,149.36320985887045,0,0.480103462934494,N/A
2004,1,6,23,0,0,0,0,0,0,0,20,21.816781323923806,954.3952026367188,91.13624000609055,161.28664744256133,0,0.48517942428588867,N/A
2004,1,7,0,0,0,0,0,0,0,0,20,21.543568565564044,953.9782104492188,91.2875158097534,166.80267124356408,0,0.479409396648407,N/A
