,Date,GHI
229,2012-08-18,510.76096
230,2012-08-19,681.44446
231,2012-08-20,681.4447
232,2012-08-21,586.55597
233,2012-08-22,578.35266
234,2012-08-23,616.64716
235,2012-08-24,454.26263
236,2012-08-25,441.95587
237,2012-08-26,462.86194
238,2012-08-27,347.2691
239,2012-08-28,631.44934
240,2012-08-29,671.4455
241,2012-08-30,380.46176
242,2012-08-31,507.36185
243,2012-09-01,559.16284
244,2012-09-02,677.945
245,2012-09-03,527.2584
246,2012-09-04,399.5816
247,2012-09-05,676.0448
248,2012-09-06,677.845
249,2012-09-07,550.6619
250,2012-09-08,548.74243
251,2012-09-09,574.75
252,2012-09-10,611.7398
253,2012-09-11,579.1607
254,2012-09-12,663.5472
255,2012-09-13,557.26855
256,2012-09-14,670.0463
257,2012-09-15,603.2473
258,2012-09-16,502.37085
259,2012-09-17,670.2446
260,2012-09-18,637.5505
261,2012-09-19,617.34686
262,2012-09-20,620.54443
263,2012-09-21,559.1457
264,2012-09-22,573.14844
265,2012-09-23,478.66522
266,2012-09-24,609.8487
267,2012-09-25,624.8436
268,2012-09-26,622.74347
269,2012-09-27,583.8491
270,2012-09-28,633.64777
271,2012-09-29,599.54474
272,2012-09-30,657.24347
273,2012-10-01,666.5448
274,2012-10-02,673.6456
275,2012-10-03,645.1496
276,2012-10-04,618.15063
277,2012-10-05,640.3521
278,2012-10-06,575.8526
279,2012-10-07,566.5541
280,2012-10-08,591.04736
281,2012-10-09,557.9455
282,2012-10-10,610.54443
283,2012-10-11,617.24615
284,2012-10-12,536.9573
285,2012-10-13,566.959
286,2012-10-14,607.45105
287,2012-10-15,234.47652
288,2012-10-16,576.8533
289,2012-10-17,593.5554
290,2012-10-18,554.3616
291,2012-10-19,415.26007
292,2012-10-20,323.565
293,2012-10-21,432.96823
294,2012-10-22,519.54553
295,2012-10-23,350.1863
296,2012-10-24,299.57574
297,2012-10-25,460.74814
298,2012-10-26,427.76944
299,2012-10-27,433.58435
300,2012-10-28,557.35547
301,2012-10-29,360.17807
302,2012-10-30,330.7707
303,2012-10-31,306.16632
304,2012-11-01,280.6694
305,2012-11-02,513.4628
306,2012-11-03,596.6503
307,2012-11-04,600.9494
308,2012-11-05,580.9506
309,2012-11-06,564.95276
310,2012-11-07,454.05884
311,2012-11-08,405.07233
312,2012-11-09,514.15686
313,2012-11-10,542.3575
314,2012-11-11,523.2573
315,2012-11-12,582.0512
316,2012-11-13,567.4437
317,2012-11-14,590.45
318,2012-11-15,529.4598
319,2012-11-16,436.05392
320,2012-11-17,555.25275
321,2012-11-18,556.65234
322,2012-11-19,527.0517
323,2012-11-20,547.55176
324,2012-11-21,558.95294
325,2012-11-22,533.6523
326,2012-11-23,517.3568
327,2012-11-24,176.77809
328,2012-11-25,387.26572
329,2012-11-26,507.35468
330,2012-11-27,501.66162
331,2012-11-28,541.0546
332,2012-11-29,526.4554
333,2012-11-30,559.1505
334,2012-12-01,586.45026
335,2012-12-02,581.9519
336,2012-12-03,566.75165
337,2012-12-04,470.34155
338,2012-12-05,450.25034
339,2012-12-06,250.27708
340,2012-12-07,242.78816
341,2012-12-08,468.169
342,2012-12-09,488.74533
343,2012-12-10,582.65045
344,2012-12-11,507.3617
345,2012-12-12,574.251
346,2012-12-13,577.25073
347,2012-12-14,553.9504
348,2012-12-15,508.35123
349,2012-12-16,368.47964
350,2012-12-17,375.15533
351,2012-12-18,274.07062
352,2012-12-19,264.7572
353,2012-12-20,260.4895
354,2012-12-21,348.28284
355,2012-12-22,502.25476
356,2012-12-23,499.8593
357,2012-12-24,562.6515
358,2012-12-25,378.9457
359,2012-12-26,355.56555
360,2012-12-27,262.90326
361,2012-12-28,388.4485
362,2012-12-29,363.379
363,2012-12-30,486.762
364,2012-12-31,356.63882
365,2013-01-01,501.95212
366,2013-01-02,559.5494
367,2013-01-03,579.8485
368,2013-01-04,528.25305
369,2013-01-05,560.6517
370,2013-01-06,570.85034
371,2013-01-07,424.15033
372,2013-01-08,241.8628
373,2013-01-09,377.56497
374,2013-01-10,579.44965
375,2013-01-11,590.6495
376,2013-01-12,480.65225
377,2013-01-13,548.949
378,2013-01-14,605.44824
379,2013-01-15,592.9518
380,2013-01-16,596.1487
381,2013-01-17,482.97778
382,2013-01-18,577.448
383,2013-01-19,599.64984
384,2013-01-20,616.14734
385,2013-01-21,578.9446
386,2013-01-22,627.4464
387,2013-01-23,623.74677
388,2013-01-24,610.0475
389,2013-01-25,618.54706
390,2013-01-26,625.3466
391,2013-01-27,608.3459
392,2013-01-28,606.24524
393,2013-01-29,615.64404
394,2013-01-30,616.5463
395,2013-01-31,581.3502
396,2013-02-01,639.34686
397,2013-02-02,647.1459
398,2013-02-03,649.645
399,2013-02-04,622.04755
400,2013-02-05,441.2596
401,2013-02-06,282.88235
